dir,survey,period,file,status,n_vars,concept,candidate_variables
257_trim_ene_feb_mar11,EPE,2011-01,Trim Ene-Feb-Mar11.sav,ok,92,occupation,
257_trim_ene_feb_mar11,EPE,2011-01,Trim Ene-Feb-Mar11.sav,ok,92,household_id,vivienda|hogar
257_trim_ene_feb_mar11,EPE,2011-01,Trim Ene-Feb-Mar11.sav,ok,92,person_id,codperso
257_trim_ene_feb_mar11,EPE,2011-01,Trim Ene-Feb-Mar11.sav,ok,92,panel_rotation,
287_trim_ene_feb_mar2012,EPE,2012-01,Trim Ene-Feb-Mar2012.sav,ok,92,employment_indicator,ocu200
287_trim_ene_feb_mar2012,EPE,2012-01,Trim Ene-Feb-Mar2012.sav,ok,92,age,p208b1|p208b2|p208b3
287_trim_ene_feb_mar2012,EPE,2012-01,Trim Ene-Feb-Mar2012.sav,ok,92,sex,p207a|p207b
287_trim_ene_feb_mar2012,EPE,2012-01,Trim Ene-Feb-Mar2012.sav,ok,92,dependent_worker,
287_trim_ene_feb_mar2012,EPE,2012-01,Trim Ene-Feb-Mar2012.sav,ok,92,self_employment,
287_trim_ene_feb_mar2012,EPE,2012-01,Trim Ene-Feb-Mar2012.sav,ok,92,informality,
287_trim_ene_feb_mar2012,EPE,2012-01,Trim Ene-Feb-Mar2012.sav,ok,92,monthly_earnings,ingtot
287_trim_ene_feb_mar2012,EPE,2012-01,Trim Ene-Feb-Mar2012.sav,ok,92,hours,
287_trim_ene_feb_mar2012,EPE,2012-01,Trim Ene-Feb-Mar2012.sav,ok,92,weight,
287_trim_ene_feb_mar2012,EPE,2012-01,Trim Ene-Feb-Mar2012.sav,ok,92,psu,conglome
287_trim_ene_feb_mar2012,EPE,2012-01,Trim Ene-Feb-Mar2012.sav,ok,92,stratum,estrato
287_trim_ene_feb_mar2012,EPE,2012-01,Trim Ene-Feb-Mar2012.sav,ok,92,geography,dominio
287_trim_ene_feb_mar2012,EPE,2012-01,Trim Ene-Feb-Mar2012.sav,ok,92,month_year,
287_trim_ene_feb_mar2012,EPE,2012-01,Trim Ene-Feb-Mar2012.sav,ok,92,industry,
287_trim_ene_feb_mar2012,EPE,2012-01,Trim Ene-Feb-Mar2012.sav,ok,92,occupation,
